Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
JA447437,23602,09/26/2017 01:23:00 PM,070XX S CHAPPEL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0331,5,01A,1191099,1858560,2017,10/03/2017 03:47:42 PM,41.766897557,-87.575098672,"(41.766897557, -87.575098672)"
JA446961,23601,09/26/2017 03:13:00 AM,066XX S OAKLEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0832,15,01A,1162216,1860600,2017,10/03/2017 03:47:42 PM,41.773145525,-87.680909575,"(41.773145525, -87.680909575)"
HY392566,22045,08/22/2015 04:43:00 AM,052XX S MENARD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0811,23,01A,1138586,1869264,2015,10/03/2017 03:45:52 PM,41.797380337,-87.767323748,"(41.797380337, -87.767323748)"
JA446740,23600,09/25/2017 09:00:00 PM,051XX W CONCORD PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2533,37,01A,1141963,1910487,2017,10/02/2017 03:51:07 PM,41.910440254,-87.753919512,"(41.910440254, -87.753919512)"
JA446798,23599,09/25/2017 10:10:00 PM,064XX S LANGLEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0312,20,01A,1181998,1862530,2017,10/02/2017 03:51:07 PM,41.778006938,-87.60833439,"(41.778006938, -87.60833439)"
JA444514,23598,09/24/2017 10:07:00 AM,009XX N MASSASOIT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1511,29,01A,1137851,1905780,2017,10/01/2017 03:49:02 PM,41.897598907,-87.769139392,"(41.897598907, -87.769139392)"
JA444237,23597,09/24/2017 02:30:00 AM,015XX S TRUMBULL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1021,24,01A,1153620,1892233,2017,10/01/2017 03:49:02 PM,41.860125358,-87.711581659,"(41.860125358, -87.711581659)"
JA435701,23589,09/18/2017 12:20:00 AM,101XX S RACINE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,2232,34,01A,1170110,1837605,2017,09/25/2017 03:57:28 PM,41.709876095,-87.652638844,"(41.709876095, -87.652638844)"
JA430510,23577,09/14/2017 10:28:00 AM,071XX S CARPENTER ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0733,17,01A,1170550,1857402,2017,09/21/2017 03:52:13 PM,41.764192264,-87.650452234,"(41.764192264, -87.650452234)"
HV125887,20252,01/20/2012 11:23:00 PM,018XX W JUNEWAY TER,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2422,49,01A,1162821,1951492,2012,09/21/2017 03:50:19 PM,42.022547568,-87.676139494,"(42.022547568, -87.676139494)"
