Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
HH427947,1528,06/08/2002 05:58:00 PM,016XX S LOOMIS ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,1222,25,01A,1167301,1892094,2002,08/17/2015 03:03:40 PM,41.859461081,-87.661366361,"(41.859461081, -87.661366361)"
HH428330,1529,06/08/2002 02:00:00 PM,030XX W WASHINGTON BV,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1331,,01A,1156144,1900528,2002,08/17/2015 03:03:40 PM,41.882837163,-87.702092759,"(41.882837163, -87.702092759)"
HH428655,1530,06/09/2002 12:10:00 AM,042XX W MONROE ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,true,false,1115,28,01A,1148054,1899322,2002,08/17/2015 03:03:40 PM,41.87968721,-87.731830814,"(41.87968721, -87.731830814)"
HH430277,1531,06/09/2002 11:19:00 PM,027XX S HOYNE  AVE,0110,HOMICIDE,FIRST DEGREE MURDER,CHA GROUNDS,true,false,1913,,01A,1162347,1918122,2002,08/17/2015 03:03:40 PM,41.930988934,-87.67882214,"(41.930988934, -87.67882214)"
HH430816,1532,06/10/2002 01:04:00 AM,018XX S CARPENTER STREET,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1233,,01A,1169529,1891505,2002,08/17/2015 03:03:40 PM,41.857796675,-87.653205214,"(41.857796675, -87.653205214)"
HH432627,1533,06/10/2002 06:55:00 PM,023XX N LAWNDALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2525,35,01A,1151321,1915400,2002,08/17/2015 03:03:40 PM,41.923743355,-87.719412281,"(41.923743355, -87.719412281)"
HH433911,1534,06/11/2002 12:30:00 PM,004XX E 47 STREET,0110,HOMICIDE,FIRST DEGREE MURDER,RETAIL STORE,false,false,0222,,01A,1180001,1873955,2002,08/17/2015 03:03:40 PM,41.80940415,-87.615305558,"(41.80940415, -87.615305558)"
HH435442,1535,06/11/2002 10:06:00 PM,001XX W 59 STREET,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0233,,01A,1176194,1865864,2002,08/17/2015 03:03:40 PM,41.787288091,-87.629511846,"(41.787288091, -87.629511846)"
HH435680,1536,06/12/2002 01:35:00 AM,037XX W DIVISION ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1112,27,01A,1151406,1907744,2002,08/17/2015 03:03:40 PM,41.902732917,-87.719301353,"(41.902732917, -87.719301353)"
HH435776,1537,06/12/2002 02:37:00 AM,047XX W HURON ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,1111,28,01A,1144551,1904216,2002,08/17/2015 03:03:40 PM,41.893183572,-87.744570178,"(41.893183572, -87.744570178)"
HH399792,1538,06/12/2002 06:53:00 AM,013XX W 73 PLACE,0110,HOMICIDE,FIRST DEGREE MURDER,GANGWAY,false,false,0734,,01A,1168564,1856023,2002,08/17/2015 03:03:40 PM,41.760451142,-87.657771105,"(41.760451142, -87.657771105)"
HH435955,1539,06/12/2002 07:30:00 AM,048XX N SHERIDAN RD.,0110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,false,false,2024,,01A,1168757,1932480,2002,08/17/2015 03:03:40 PM,41.970251161,-87.654849094,"(41.970251161, -87.654849094)"
HH439249,1540,06/13/2002 03:30:00 PM,091XX S ESSEX AV.,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,0423,,01A,1194423,1844915,2002,08/17/2015 03:03:40 PM,41.729373522,-87.563362679,"(41.729373522, -87.563362679)"
HH440086,1541,06/13/2002 10:15:00 PM,006XX W DIVISION ST.,0110,HOMICIDE,FIRST DEGREE MURDER,CHA GROUNDS,true,false,1822,,01A,1171881,1908252,2002,08/17/2015 03:03:40 PM,41.903700111,-87.644078325,"(41.903700111, -87.644078325)"
HH440370,1542,06/13/2002 11:36:00 PM,006XX W DIVISION ST.,0110,HOMICIDE,FIRST DEGREE MURDER,CHA HALLWAY,true,false,1822,,01A,1171577,1908244,2002,08/17/2015 03:03:40 PM,41.903684856,-87.645195215,"(41.903684856, -87.645195215)"
HH440588,1543,06/14/2002 06:43:00 AM,014XX N CAMPBELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1423,26,01A,1159481,1909401,2002,08/17/2015 03:03:40 PM,41.907117422,-87.689594685,"(41.907117422, -87.689594685)"
HH440773,1544,06/14/2002 07:43:00 AM,031XX W JEROME ST.,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,2411,,01A,1154309,1949862,2002,08/17/2015 03:03:40 PM,42.018249871,-87.707508169,"(42.018249871, -87.707508169)"
HH440773,1545,06/14/2002 07:43:00 AM,031XX W JEROME ST.,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,2411,,01A,1154309,1949862,2002,08/17/2015 03:03:40 PM,42.018249871,-87.707508169,"(42.018249871, -87.707508169)"
HH442667,1546,06/14/2002 11:45:00 PM,087XX S SANGAMON ST.,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,2222,,01A,1171500,1846916,2002,08/17/2015 03:03:40 PM,41.735396556,-87.647276711,"(41.735396556, -87.647276711)"
HH442587,1547,06/15/2002 03:29:00 AM,030XX E 78 STREET,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0421,,01A,1197616,1854432,2002,08/17/2015 03:03:40 PM,41.755409918,-87.551349331,"(41.755409918, -87.551349331)"
HH447119,1548,06/17/2002 01:20:00 AM,029XX W 85TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0835,18,01A,1158144,1848014,2002,08/17/2015 03:03:40 PM,41.738691386,-87.696178334,"(41.738691386, -87.696178334)"
HH447396,1549,06/17/2002 08:04:00 AM,005XX E BROWNING  ST.,0110,HOMICIDE,FIRST DEGREE MURDER,CHA GROUNDS,true,false,0212,,01A,1180530,1881417,2002,08/17/2015 03:03:40 PM,41.829868313,-87.613135895,"(41.829868313, -87.613135895)"
HH449520,1550,06/18/2002 01:22:00 AM,045XX N SAWYER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,1724,33,01A,1153900,1929967,2002,08/17/2015 03:03:40 PM,41.963665201,-87.70954648,"(41.963665201, -87.70954648)"
HH450900,1551,06/18/2002 05:25:00 PM,014XX N MAYFIELD  AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2531,,01A,1136756,1909023,2002,08/17/2015 03:03:40 PM,41.90651779,-87.773083476,"(41.90651779, -87.773083476)"
HH447144,1552,06/18/2002 06:15:00 PM,031XX W 38TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0913,12,01A,1155977,1878913,2002,08/17/2015 03:03:40 PM,41.823526544,-87.703288366,"(41.823526544, -87.703288366)"
G649506,1553,06/18/2002 12:20:00 AM,103XX S MORGAN STREET,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2232,,01A,1171482,1836087,2002,08/17/2015 03:03:40 PM,41.7056806,-87.647658636,"(41.7056806, -87.647658636)"
HH453672,1554,06/20/2002 12:53:00 AM,069XX S BELL AV.,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,0832,,01A,1162595,1858652,2002,08/17/2015 03:03:40 PM,41.767792044,-87.679574527,"(41.767792044, -87.679574527)"
HH454025,1555,06/20/2002 02:56:00 AM,051XX W KINZIE ST.,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1532,,01A,1142148,1902251,2002,08/17/2015 03:03:40 PM,41.887836285,-87.753444393,"(41.887836285, -87.753444393)"
HH454055,1556,06/20/2002 04:05:00 AM,088XX S LAFLIN ST.,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2221,,01A,1167877,1846224,2002,08/17/2015 03:03:40 PM,41.733576092,-87.66056978,"(41.733576092, -87.66056978)"
HH456271,1557,06/21/2002 02:20:00 AM,066XX S RHODES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0321,20,01A,1181042,1861105,2002,08/17/2015 03:03:40 PM,41.774118663,-87.611882909,"(41.774118663, -87.611882909)"
HH459066,1558,06/21/2002 10:34:00 AM,034XX W MADISON STREET,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,1123,,01A,1153450,1899805,2002,08/17/2015 03:03:40 PM,41.880907126,-87.7120045,"(41.880907126, -87.7120045)"
HH458711,1559,06/22/2002 04:40:00 AM,026XX W ARMITAGE  AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,1421,,01A,1158504,1913186,2002,08/17/2015 03:03:40 PM,41.917523824,-87.69307984,"(41.917523824, -87.69307984)"
HH460411,1560,06/22/2002 10:41:00 PM,026XX W DIVISION STREET,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1311,,01A,1158546,1907878,2002,08/17/2015 03:03:40 PM,41.902957389,-87.693071104,"(41.902957389, -87.693071104)"
HH460538,1561,06/22/2002 11:58:00 PM,012XX E 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0411,,01A,1185668,1852862,2002,08/17/2015 03:03:40 PM,41.751391355,-87.595184375,"(41.751391355, -87.595184375)"
HH460868,1562,06/23/2002 01:55:00 AM,021XX N ST. LOUIS  AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1413,,01A,1152922,1913821,2002,08/17/2015 03:03:40 PM,41.919378841,-87.713571489,"(41.919378841, -87.713571489)"
HH461078,1563,06/23/2002 10:10:00 AM,050XX W MADISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1533,28,01A,1142761,1899553,2002,08/17/2015 03:03:40 PM,41.880421254,-87.751260433,"(41.880421254, -87.751260433)"
HH458624,1564,06/23/2002 12:00:00 PM,042XX W FULLERTON  AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,true,false,2524,,01A,1147519,1915614,2002,08/17/2015 03:03:40 PM,41.924404435,-87.733376905,"(41.924404435, -87.733376905)"
HH462985,1565,06/24/2002 04:25:00 AM,024XX W 35TH STREET,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0913,,01A,1160747,1881407,2002,08/17/2015 03:03:40 PM,41.830273049,-87.685719924,"(41.830273049, -87.685719924)"
HH462985,1566,06/24/2002 04:25:00 AM,024XX W 35TH STREET,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0913,,01A,1160733,1881406,2002,08/17/2015 03:03:40 PM,41.830270595,-87.685771318,"(41.830270595, -87.685771318)"
HH462829,1567,06/25/2002 03:10:00 AM,018XX N HUMBOLDT  BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1421,,01A,1156082,1912154,2002,08/17/2015 03:03:40 PM,41.914741204,-87.70200627,"(41.914741204, -87.70200627)"
HH470866,1568,06/27/2002 12:20:00 PM,025XX N MILWAUKEE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,true,1414,35,01A,1155378,1916716,2002,08/17/2015 03:03:40 PM,41.927273891,-87.704469775,"(41.927273891, -87.704469775)"
HH472506,1569,06/28/2002 02:06:00 AM,081XX S ASHLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0614,21,01A,1167089,1850738,2002,08/17/2015 03:03:40 PM,41.745980029,-87.663327876,"(41.745980029, -87.663327876)"
HH460597,1570,06/29/2002 04:36:00 AM,130XX S BUFFALO STREET,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0433,,01A,1200081,1818888,2002,08/17/2015 03:03:40 PM,41.657812239,-87.543510666,"(41.657812239, -87.543510666)"
HH476242,1571,06/29/2002 05:44:00 PM,058XX W WASHINGTON BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1513,29,01A,1137512,1900155,2002,08/17/2015 03:03:40 PM,41.882169295,-87.770520031,"(41.882169295, -87.770520031)"
HH476789,1572,06/29/2002 11:36:00 PM,069XX S INDIANA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0322,6,01A,1178791,1859090,2002,08/17/2015 03:03:40 PM,41.768640814,-87.620195828,"(41.768640814, -87.620195828)"
HH476864,1573,06/29/2002 11:36:00 PM,029XX N ALBANY STREET,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1411,,01A,1155200,1919428,2002,08/17/2015 03:03:40 PM,41.934719406,-87.705050827,"(41.934719406, -87.705050827)"
HH477070,1574,06/30/2002 02:15:00 AM,070XX S BISHOP STREET,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0734,,01A,1167880,1858201,2002,08/17/2015 03:03:40 PM,41.766442574,-87.660215523,"(41.766442574, -87.660215523)"
HH476968,1575,06/30/2002 03:16:00 AM,070XX S THROOP STREET,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0734,,01A,1168874,1858153,2002,08/17/2015 03:03:40 PM,41.766289453,-87.656573526,"(41.766289453, -87.656573526)"
HH477322,1576,06/30/2002 07:30:00 AM,001XX S KILBOURN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1113,28,01A,1146410,1899103,2002,08/17/2015 03:03:40 PM,41.879117707,-87.737872988,"(41.879117707, -87.737872988)"
HH477480,1577,06/30/2002 07:15:00 AM,064XX S HARVARD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,0722,20,01A,1175172,1862280,2002,08/17/2015 03:03:40 PM,41.777476106,-87.633366025,"(41.777476106, -87.633366025)"
HH474716,1578,06/24/2002 06:00:00 AM,040XX W MONROE ST,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,true,false,1115,28,01A,1149437,1899354,2002,08/17/2015 03:03:40 PM,41.879748311,-87.726751761,"(41.879748311, -87.726751761)"
HH742802,1579,06/15/2002 09:00:00 PM,058XX N SHERIDAN RD,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,2022,48,01A,1168575,1939019,2002,08/17/2015 03:03:40 PM,41.988198299,-87.655327998,"(41.988198299, -87.655327998)"
HH461078,1580,07/01/2002 12:30:00 AM,050XX W MADISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1533,28,01A,1142761,1899553,2002,08/17/2015 03:03:40 PM,41.880421254,-87.751260433,"(41.880421254, -87.751260433)"
HH478886,1581,07/01/2002 03:00:00 AM,053XX W BLOOMINGDALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,2532,37,01A,1140331,1911447,2002,08/17/2015 03:03:40 PM,41.913104698,-87.759891364,"(41.913104698, -87.759891364)"
HH481276,1582,07/01/2002 10:14:00 PM,022XX S KOLIN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1013,22,01A,1147997,1888802,2002,08/17/2015 03:03:40 PM,41.850820147,-87.732310547,"(41.850820147, -87.732310547)"
HH481575,1583,07/02/2002 02:07:00 AM,047XX W OHIO ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1111,28,01A,1144562,1903565,2002,08/17/2015 03:03:40 PM,41.891396946,-87.744546185,"(41.891396946, -87.744546185)"
HH482092,1584,07/02/2002 10:40:00 AM,083XX S RACINE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,RETAIL STORE,false,false,0613,21,01A,1169773,1849559,2002,08/17/2015 03:03:40 PM,41.742686921,-87.653527267,"(41.742686921, -87.653527267)"
HH483971,1585,07/03/2002 01:35:00 AM,023XX W ADAMS ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1211,2,01A,1160784,1899021,2002,08/17/2015 03:03:40 PM,41.878606901,-87.685096279,"(41.878606901, -87.685096279)"
HH485645,1586,07/03/2002 12:40:00 AM,014XX E 66TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0321,5,01A,1187010,1861192,2002,08/17/2015 03:03:40 PM,41.774217931,-87.590002881,"(41.774217931, -87.590002881)"
HH485926,1587,07/04/2002 03:14:00 AM,025XX W 59TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0824,16,01A,1160516,1865458,2002,08/17/2015 03:03:40 PM,41.786511773,-87.687007544,"(41.786511773, -87.687007544)"
HH487167,1588,07/04/2002 06:45:00 PM,012XX N BURLING ST,0110,HOMICIDE,FIRST DEGREE MURDER,CHA LOBBY,true,false,1822,27,01A,1171084,1908425,2002,08/17/2015 03:03:40 PM,41.904192368,-87.647000785,"(41.904192368, -87.647000785)"
HH485934,1589,07/04/2002 02:47:00 AM,041XX W 26TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1013,22,01A,1149042,1886397,2002,08/17/2015 03:03:40 PM,41.844200384,-87.728537311,"(41.844200384, -87.728537311)"
HH486986,1590,07/04/2002 04:57:00 PM,011XX S PULASKI RD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1132,24,01A,1149893,1894625,2002,08/17/2015 03:03:40 PM,41.866762539,-87.725200404,"(41.866762539, -87.725200404)"
HH485718,1591,07/04/2002 03:00:00 AM,006XX N MAYFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1511,29,01A,1137038,1903572,2002,08/17/2015 03:03:40 PM,41.891554507,-87.772178536,"(41.891554507, -87.772178536)"
HH487829,1592,07/05/2002 01:00:00 AM,036XX W DOUGLAS BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,1011,24,01A,1152417,1893216,2002,08/17/2015 03:03:40 PM,41.862846644,-87.715971637,"(41.862846644, -87.715971637)"
HH490220,1593,07/06/2002 02:31:00 AM,008XX N LEAMINGTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1531,37,01A,1141872,1905014,2002,08/17/2015 03:03:40 PM,41.895423402,-87.754389506,"(41.895423402, -87.754389506)"
HH490118,1594,07/06/2002 12:23:00 AM,060XX S LASALLE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0311,,01A,1176336,1864995,2002,08/17/2015 03:03:40 PM,41.784900274,-87.629017298,"(41.784900274, -87.629017298)"
HH490208,1595,07/06/2002 02:15:00 AM,024XX W JACKSON BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1125,2,01A,1159952,1898622,2002,08/17/2015 03:03:40 PM,41.877529212,-87.688162229,"(41.877529212, -87.688162229)"
HH494289,1596,07/07/2002 11:14:00 PM,067XX S EVANS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,true,false,0321,20,01A,1182376,1860498,2002,08/17/2015 03:03:40 PM,41.772422184,-87.60701156,"(41.772422184, -87.60701156)"
HH494479,1597,07/08/2002 01:45:00 AM,080XX S STEWART AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0621,17,01A,1175021,1851640,2002,08/17/2015 03:03:40 PM,41.74828207,-87.6342366,"(41.74828207, -87.6342366)"
HH494479,1598,07/08/2002 01:45:00 AM,080XX S STEWART AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0621,17,01A,1175021,1851640,2002,08/17/2015 03:03:40 PM,41.74828207,-87.6342366,"(41.74828207, -87.6342366)"
HH492600,1599,07/08/2002 06:23:00 PM,058XX S MAPLEWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0824,16,01A,1160372,1865797,2002,08/17/2015 03:03:40 PM,41.787445004,-87.68752619,"(41.787445004, -87.68752619)"
HH497225,1600,07/09/2002 11:16:00 AM,028XX W VAN BUREN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1124,2,01A,1157364,1898032,2002,08/17/2015 03:03:40 PM,41.875963185,-87.697680742,"(41.875963185, -87.697680742)"
HH497737,1601,07/09/2002 02:40:00 PM,014XX W 103RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,RETAIL STORE,false,false,2212,19,01A,1168332,1836447,2002,08/17/2015 03:03:40 PM,41.706736745,-87.659183363,"(41.706736745, -87.659183363)"
HH499180,1602,07/09/2002 11:55:00 PM,074XX S DORCHESTER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PUBLIC GRAMMAR SCHOOL,true,false,0324,5,01A,1186829,1855961,2002,08/17/2015 03:03:40 PM,41.759867892,-87.590831919,"(41.759867892, -87.590831919)"
HH499272,1603,07/10/2002 01:16:00 AM,015XX W HOWARD ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2422,49,01A,1164525,1950346,2002,08/17/2015 03:03:40 PM,42.019366852,-87.669901368,"(42.019366852, -87.669901368)"
HH479856,1604,07/01/2002 12:25:00 PM,011XX S LARAMIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1522,,01A,1141891,1894687,2002,08/17/2015 03:03:40 PM,41.867084472,-87.754575505,"(41.867084472, -87.754575505)"
HH500112,1605,07/10/2002 12:30:00 PM,021XX W 21ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,1223,25,01A,1162327,1890050,2002,08/17/2015 03:03:40 PM,41.853957519,-87.679681511,"(41.853957519, -87.679681511)"
HH500856,1606,07/10/2002 06:07:00 PM,032XX W 16TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1022,24,01A,1155066,1891860,2002,08/17/2015 03:03:40 PM,41.859072947,-87.706283745,"(41.859072947, -87.706283745)"
HH501711,1607,07/11/2002 02:55:00 AM,053XX S LOWE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0934,3,01A,1172873,1869438,2002,08/17/2015 03:03:40 PM,41.797169487,-87.641583005,"(41.797169487, -87.641583005)"
HH500798,1608,07/10/2002 05:42:00 PM,027XX S ASHLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,RIVER,false,false,0923,11,01A,1166129,1886059,2002,08/17/2015 03:03:40 PM,41.84292557,-87.665840602,"(41.84292557, -87.665840602)"
HH503688,1609,07/11/2002 10:16:00 PM,033XX N KILDARE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,1731,31,01A,1147124,1922055,2002,08/17/2015 03:03:40 PM,41.942086695,-87.734663052,"(41.942086695, -87.734663052)"
HH503657,1610,07/12/2002 06:32:00 AM,033XX W 66TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0831,15,01A,1155180,1860330,2002,08/17/2015 03:03:40 PM,41.77254818,-87.706709261,"(41.77254818, -87.706709261)"
HH506246,1611,07/13/2002 02:22:00 AM,020XX N ST LOUIS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1413,26,01A,1152938,1913321,2002,08/17/2015 03:03:40 PM,41.918006481,-87.71352598,"(41.918006481, -87.71352598)"
HH507903,1612,07/13/2002 07:44:00 PM,073XX N CLARK ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,2424,49,01A,1163160,1948616,2002,08/17/2015 03:03:40 PM,42.014648623,-87.674973363,"(42.014648623, -87.674973363)"
HH508501,1613,07/14/2002 03:38:00 AM,065XX S CLAREMONT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0832,15,01A,1161869,1861157,2002,08/17/2015 03:03:40 PM,41.774681227,-87.682166139,"(41.774681227, -87.682166139)"
HH508211,1614,07/14/2002 01:31:00 AM,023XX S CALIFORNIA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1033,12,01A,1158058,1888522,2002,08/17/2015 03:03:40 PM,41.849852628,-87.695392076,"(41.849852628, -87.695392076)"
HH505592,1615,07/14/2002 02:17:00 PM,030XX W 47TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0912,14,01A,1157067,1873334,2002,08/17/2015 03:03:40 PM,41.808195048,-87.699440511,"(41.808195048, -87.699440511)"
HH509766,1616,07/14/2002 04:55:00 PM,011XX W 111TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,2234,34,01A,1170672,1830856,2002,08/17/2015 03:03:40 PM,41.691343571,-87.650776593,"(41.691343571, -87.650776593)"
HH510619,1617,07/15/2002 01:20:00 AM,073XX S RIDGELAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0324,8,01A,1189151,1856483,2002,08/17/2015 03:03:40 PM,41.761244993,-87.582305221,"(41.761244993, -87.582305221)"
HH510318,1618,07/15/2002 05:00:00 PM,106XX S LASALLE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0512,,01A,1177156,1834531,2002,08/17/2015 03:03:40 PM,41.701284863,-87.626927742,"(41.701284863, -87.626927742)"
HH510630,1619,07/15/2002 01:31:00 AM,063XX W PALMER ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2512,29,01A,1133824,1914069,2002,08/17/2015 03:03:40 PM,41.92041668,-87.783735283,"(41.92041668, -87.783735283)"
HH513164,1620,07/16/2002 03:41:00 AM,119XX S MORGAN ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0524,34,01A,1171867,1825746,2002,08/17/2015 03:03:40 PM,41.677294835,-87.646550716,"(41.677294835, -87.646550716)"
HH410612,1621,07/15/2002 06:30:00 PM,014XX W 13TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1231,2,01A,1167126,1894165,2002,08/17/2015 03:03:40 PM,41.865147839,-87.661949282,"(41.865147839, -87.661949282)"
HH508711,1622,07/16/2002 05:49:00 PM,064XX S PEORIA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0723,16,01A,1171414,1862128,2002,08/17/2015 03:03:40 PM,41.777142114,-87.647147267,"(41.777142114, -87.647147267)"
HH506533,1623,07/13/2002 07:45:00 AM,009XX N HOMAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1121,27,01A,1153540,1905959,2002,08/17/2015 03:03:40 PM,41.897792526,-87.71151027,"(41.897792526, -87.71151027)"
HH521762,1624,07/19/2002 09:50:00 PM,002XX N KENNETH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,true,false,1113,28,01A,1146691,1900739,2002,08/17/2015 03:03:40 PM,41.883601727,-87.736799439,"(41.883601727, -87.736799439)"
HH524632,1625,07/21/2002 03:05:00 AM,089XX S EXCHANGE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0423,10,01A,1197317,1846309,2002,08/17/2015 03:03:40 PM,41.733127244,-87.552715113,"(41.733127244, -87.552715113)"
HH524632,1626,07/21/2002 05:50:00 AM,089XX S EXCHANGE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0423,10,01A,1197317,1846309,2002,08/17/2015 03:03:40 PM,41.733127244,-87.552715113,"(41.733127244, -87.552715113)"
HH524796,1627,07/21/2002 05:00:00 AM,074XX S UNION AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0732,17,01A,1172917,1855649,2002,08/17/2015 03:03:40 PM,41.759329924,-87.641828271,"(41.759329924, -87.641828271)"
HH522403,1628,07/21/2002 07:41:00 AM,052XX S MAY ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0934,16,01A,1169544,1869989,2002,08/17/2015 03:03:40 PM,41.798754356,-87.65377487,"(41.798754356, -87.65377487)"
HH527219,1629,07/22/2002 11:40:00 AM,070XX S EAST END AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0332,5,01A,1188996,1858571,2002,08/17/2015 03:03:40 PM,41.766978356,-87.582806527,"(41.766978356, -87.582806527)"
