TOTAL,,60622,,,47.5,48.8,51,62.8,56.7,56.3,63,55.1,61,53.9,53.5,40.7,52.8,53.2,59.9,82.8,84.2,90,59.6,,,,,,,,,,,,,,,,,,
TOTAL,,60621,,,29.1,24,36.6,37.7,46,42.4,56.6,44.2,52.6,53.3,45.6,48,52.6,65.3,63.4,62.3,76.8,79.1,51,,,,,,,,,,,,,,,,,,
TOTAL,609692,60620,SIMEON HS,0,51.5,58.6,54,56.1,61.4,62.2,58.6,68.8,69.9,61.1,60.9,71.1,73.7,55.8,68.5,66.7,77.3,84.3,64.5,400,355,385,431,383,426,396,420,435,468,327,418,414,428,413,405,400,357
TOTAL,,60619,,,45.7,33,27.9,32.5,42.8,56.8,49.4,52.5,53.1,32.4,33.9,43.9,53.9,61.7,69.5,71.6,56.9,63.5,48.9,,,,,,,,,,,,,,,,,,
TOTAL,,60618,,,88.6,89.3,89.7,87,77,78.7,85.4,83.7,88.6,87.1,86.8,81,85.9,88.2,90.5,94.4,92.1,92.9,87,,,,,,,,,,,,,,,,,,
TOTAL,,60617,,,49.9,55.6,61.1,57.9,54.7,54.9,59,51.2,54.3,52.9,53.7,45.8,62.7,68.9,65.5,78.3,81.6,87.1,60.8,,,,,,,,,,,,,,,,,,
TOTAL,,60616,,,44.1,34.8,43.2,34.6,38.5,41.8,54.5,53.6,60,60.2,58.1,59.6,62.1,66,65.7,70.2,72.6,83.1,55.7,,,,,,,,,,,,,,,,,,
TOTAL,,60615,,,66,65.6,51.1,62.8,61.5,62.1,62,60.5,63.4,64.8,70.1,77,76.5,76,73.2,73.4,81.7,89.6,68.7,,,,,,,,,,,,,,,,,,
TOTAL,609738,60614,LINCOLN PARK HS,0,63.7,68.6,69.2,66.7,71.2,74,75,74.5,73.8,71.5,77.6,72.8,79.1,77.1,74.4,76.5,84.1,87.3,74.3,410,491,523,478,441,547,608,542,587,606,554,555,609,541,594,637,484,581
TOTAL,609719,60613,LAKE VIEW HS,0,57.7,64,66.7,69.6,67.6,70.6,81.1,69.2,78.9,80.1,82.7,72.6,82,89.9,87.3,92,84,87.4,76.9,378,331,282,313,256,381,412,325,331,437,452,481,333,406,394,361,350,334
TOTAL,,60612,,,44.3,49.4,49.6,56.5,54.7,58.1,55.5,48,47.3,49.1,46.9,51.5,57.4,54.9,59.1,61.4,93.2,82.3,56.6,,,,,,,,,,,,,,,,,,
TOTAL,,60609,,,46.6,39.6,42.3,41.3,44.7,50.6,61,38.1,32.1,49.3,47.9,40.7,50.8,62.1,76.9,74.4,81.7,80.7,53.4,,,,,,,,,,,,,,,,,,
TOTAL,609755,60607,YOUNG HS,0,85.1,88.3,87.6,90,90.1,93.2,95.7,94.7,92.3,95.7,96.5,96.1,96.8,95.4,96.7,97,97.9,97.6,93.7,518,537,563,468,483,459,391,580,441,485,487,545,495,499,428,505,533,463
